athlete,athlete-ea323b307d8f51,Kn. Crump,9,ATH,ATH,73,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session,athlete-31f3ca620f838f,,,,,,,,event-7badc8422c3808,,,,,session-57ea7998399026,2026-06-15,2026-06-15T13:00:00.000Z,,,,142,,,,,,,,,,,,240,82,17,
session,athlete-630fa34536b5c2,,,,,,,,event-7badc8422c3808,,,,,session-ac276004ecb9f3,2026-06-15,2026-06-15T13:00:00.000Z,,,,157,,,,,,,,,,,,330,106,25,
session,athlete-4e97754ff37349,,,,,,,,event-7badc8422c3808,,,,,session-14d62592ba6e87,2026-06-15,2026-06-15T13:00:00.000Z,,,,122,,,,,,,,,,,,255,106,26,
session,athlete-beac86d113fc89,,,,,,,,event-7badc8422c3808,,,,,session-2e8eb24ff968b6,2026-06-15,2026-06-15T13:00:00.000Z,,,,157,,,,,,,,,,,,325,84,10,
session,athlete-711f53afaf29fd,,,,,,,,event-7badc8422c3808,,,,,session-53124e9466c964,2026-06-15,2026-06-15T13:00:00.000Z,,,,171,,,,,,,,,,,,250,80,10,
session,athlete-dede9e9140f24a,,,,,,,,event-7badc8422c3808,,,,,session-7c140550c072bb,2026-06-15,2026-06-15T13:00:00.000Z,,,,139,,,,,,,,,,,,245,79,24,
session,athlete-ea323b307d8f51,,,,,,,,event-7badc8422c3808,,,,,session-9039e5408d6d7f,2026-06-15,2026-06-15T13:00:00.000Z,,,,172,,,,,,,,,,,,235,86,24,
session,athlete-4d3c0b86b98ad1,,,,,,,,event-7badc8422c3808,,,,,session-ef0df44e6f7553,2026-06-15,2026-06-15T13:00:00.000Z,,,,131,,,,,,,,,,,,220,82,10,
session,athlete-72ffee60f2cb22,,,,,,,,event-7badc8422c3808,,,,,session-9fab38b19888ba,2026-06-15,2026-06-15T13:00:00.000Z,,,,197,,,,,,,,,,,,295,77,17,
session,athlete-7d1472cc4e4c65,,,,,,,,event-7badc8422c3808,,,,,session-428434b7ed4138,2026-06-15,2026-06-15T13:00:00.000Z,,,,189,,,,,,,,,,,,235,70,18,
